TradingDate,WeekDay,Description
26-Jan-25,Sunday,Republic Day
26-Feb-25,Wednesday,Mahashivratri
14-Mar-25,Friday,Holi
31-Mar-25,Monday,Id-Ul-Fitr (Ramadan Eid)
6-Apr-25,Sunday,Shri Ram Navami
10-Apr-25,Thursday,Shri Mahavir Jayanti
14-Apr-25,Monday,Dr. Baba Saheb Ambedkar Jayanti
18-Apr-25,Friday,Good Friday
1-May-25,Thursday,Maharashtra Day
7-Jun-25,Saturday,Bakri Id
6-Jul-25,Sunday,Muharram
15-Aug-25,Friday,Independence Day / Parsi New Year
27-Aug-25,Wednesday,Shri Ganesh Chaturthi
2-Oct-25,Thursday,Mahatma Gandhi Jayanti/Dussehra
21-Oct-25,Tuesday,Diwali Laxmi Pujan
22-Oct-25,Wednesday,Balipratipada
5-Nov-25,Wednesday,Prakash Gurpurb Sri Guru Nanak Dev
25-Dec-25,Thursday,Christmas
26-Jan-24,Friday,Republic Day
8-Mar-24,Friday,Mahashivratri
25-Mar-24,Monday,Holi
29-Mar-24,Friday,Good Friday
11-Apr-24,Thursday,Id-Ul-Fitr (Ramadan Eid)
17-Apr-24,Wednesday,Shri Ram Navami
1-May-24,Wednesday,Maharashtra Day
17-Jun-24,Monday,Bakri Id
7-Jul-24,Wednesday,Moharram
15-Aug-24,Thursday,Independence Day
2-Oct-24,Wednesday,Gandhi Jayanti
1-Nov-24,Friday,Diwali
15-Nov-24,Friday,Gurunanak Jayanti
25-Dec-24,Wednesday,Christmas
